"(0, 1)",Undiscovered,1,False,False,"{'Fertility': 1.22, 'Minerals': 0.36000000000000004, 'Savagery': 0.44, 'Mana': 0.39, 'Water': 0.24}"
"(0, 7)",Undiscovered,5,False,False,"{'Fertility': 0.32, 'Minerals': 0.95, 'Savagery': 0.62, 'Mana': 0.52, 'Water': 0.13999999999999999}"
"(0, 8)",Undiscovered,6,False,False,"{'Fertility': 0.43, 'Minerals': 0.41000000000000003, 'Savagery': 0.54, 'Mana': 0.6799999999999999, 'Water': 0.39999999999999997}"
"(0, 12)",Undiscovered,3,False,False,"{'Fertility': -0.009999999999999995, 'Minerals': 0.75, 'Savagery': 0.58, 'Mana': 0.16, 'Water': 0.12}"
"(0, 31)",Undiscovered,6,False,False,"{'Fertility': 0.51, 'Minerals': 0.35, 'Savagery': 1.0, 'Mana': 0.51, 'Water': 0.39999999999999997}"
"(0, 65)",Undiscovered,3,False,False,"{'Fertility': 0.020000000000000004, 'Minerals': 1.09, 'Savagery': 0.6, 'Mana': 0.28, 'Water': -0.11}"
"(0, 81)",Undiscovered,1,False,False,"{'Fertility': 0.9299999999999999, 'Minerals': 0.30000000000000004, 'Savagery': 0.49, 'Mana': 0.38, 'Water': 0.49}"
"(0, 86)",Undiscovered,4,False,False,"{'Fertility': 0.74, 'Minerals': 0.10999999999999999, 'Savagery': 0.35, 'Mana': 0.78, 'Water': 1.06}"
"(0, 94)",Undiscovered,6,False,False,"{'Fertility': 0.53, 'Minerals': 0.29000000000000004, 'Savagery': 1.05, 'Mana': 0.65, 'Water': 0.8899999999999999}"
"(0, 99)",Undiscovered,9,False,False,"{'Fertility': 0.17, 'Minerals': 0.43000000000000005, 'Savagery': 1.05, 'Mana': 0.7999999999999999, 'Water': 0.28}"
"(0, 100)",Undiscovered,4,False,False,"{'Fertility': 0.85, 'Minerals': 0.03999999999999998, 'Savagery': 0.67, 'Mana': 0.66, 'Water': 0.79}"
"(0, 102)",Undiscovered,7,False,False,"{'Fertility': -0.06, 'Minerals': 0.84, 'Savagery': 0.41999999999999993, 'Mana': 0.69, 'Water': 0.6599999999999999}"
"(0, 114)",Undiscovered,2,False,False,"{'Fertility': 0.96, 'Minerals': 0.5700000000000001, 'Savagery': 0.5499999999999999, 'Mana': 0.5900000000000001, 'Water': 0.8799999999999999}"
